sku,product_name,category,inventory_risk_score,risk_tier,days_of_inventory,current_stock,avg_daily_demand,reorder_point,lead_time_days,risk_coverage_score,risk_depletion_score,risk_trend_score,risk_lead_time_score,recommended_action,recommendation_rationale
SKU-APP-201,Thermal Fleece Running Hoodie,Apparel,88,Critical,1.4,16.0,11.122,167,14,40.0,25.0,13.2,10.0,Prioritize Immediate Replenishment,"Critical stock-out risk: Current inventory of 16 units covers only 1.4 days of demand, far below supplier lead time of 14 days."
SKU-APP-202,Moisture-Wicking Athletic Tee,Apparel,7,Low Risk,52.6,220.0,4.183,56,10,0.0,2.0,0.0,5.0,Maintain Scheduled Monitoring,"Inventory levels (220 units, 52.6 days coverage) are balanced with current daily consumption of 4.2 units/day and lead time of 10 days."
SKU-APP-203,Heavyweight Arctic Winter Parka,Apparel,17,Low Risk,294.3,510.0,1.733,76,30,0.0,2.0,0.0,15.0,Halt Replenishment & Stimulate Demand,"Excess inventory of 406 units detected (294 days of coverage), exceeding the 60-day operational target. Working capital tied up equals $34,510.00."
SKU-APP-204,Seamless Workout Compression Leggings,Apparel,82,Critical,0.4,4.0,9.339,98,10,40.0,25.0,12.3,5.0,Prioritize Immediate Replenishment,"Critical stock-out risk: Current inventory of 4 units covers only 0.4 days of demand, far below supplier lead time of 10 days."
SKU-APP-205,Formal Wool Blazer Tailored,Apparel,17,Low Risk,737.2,115.0,0.156,14,25,0.0,2.0,0.0,15.0,Review Purchasing Levels & Evaluate Promotional Repositioning,Sluggish sales velocity (0.16 units/day) with 737 days of inventory remaining. Demand momentum is decreasing (-25.0% shift). Re-evaluate purchase orders and consider markdown tests.
SKU-APP-206,Organic Cotton Crewneck Sweatshirt,Apparel,7,Low Risk,31.0,135.0,4.361,67,12,0.0,2.0,0.0,5.0,Maintain Scheduled Monitoring,"Inventory levels (135 units, 31.0 days coverage) are balanced with current daily consumption of 4.4 units/day and lead time of 12 days."
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,90,Critical,1.1,12.0,11.4,167,14,40.0,25.0,14.7,10.0,Prioritize Immediate Replenishment,"Critical stock-out risk: Current inventory of 12 units covers only 1.1 days of demand, far below supplier lead time of 14 days."
SKU-ELC-002,Smart Fitness Watch V2,Electronics,36,Medium Risk,11.4,48.0,4.222,56,10,16.0,15.0,0.0,5.0,Initiate Standard Purchase Reorder,Current inventory (48 units) has breached the reorder threshold of 56 units with 11.4 days of inventory remaining. Reorder now to maintain minimum safety buffer.
SKU-ELC-003,4K Ultra-HD Action Camera,Electronics,17,Low Risk,232.6,420.0,1.806,53,21,0.0,2.0,0.0,15.0,Halt Replenishment & Stimulate Demand,"Excess inventory of 311 units detected (233 days of coverage), exceeding the 60-day operational target. Working capital tied up equals $40,508.00."
SKU-ELC-004,USB-C Fast Charging Cable 2M,Electronics,83,Critical,0.5,5.0,9.122,69,7,40.0,25.0,13.2,5.0,Prioritize Immediate Replenishment,"Critical stock-out risk: Current inventory of 5 units covers only 0.5 days of demand, far below supplier lead time of 7 days."
