date,category,sku,product_name,units_sold
2026-03-01,Apparel,SKU-APP-201,Thermal Fleece Running Hoodie,10.0
2026-03-01,Apparel,SKU-APP-202,Moisture-Wicking Athletic Tee,6.0
2026-03-01,Apparel,SKU-APP-203,Heavyweight Arctic Winter Parka,2.0
2026-03-01,Apparel,SKU-APP-204,Seamless Workout Compression Leggings,11.0
2026-03-01,Apparel,SKU-APP-205,Formal Wool Blazer Tailored,1.0
2026-03-01,Apparel,SKU-APP-206,Organic Cotton Crewneck Sweatshirt,1.0
2026-03-01,Electronics,SKU-ELC-001,Wireless Noise-Canceling Headphones,14.0
2026-03-01,Electronics,SKU-ELC-002,Smart Fitness Watch V2,2.0
2026-03-01,Electronics,SKU-ELC-003,4K Ultra-HD Action Camera,0.0
2026-03-01,Electronics,SKU-ELC-004,USB-C Fast Charging Cable 2M,9.0
2026-03-01,Electronics,SKU-ELC-005,Vintage Stereo Turntable,0.0
2026-03-01,Electronics,SKU-ELC-006,Bluetooth Conference Speaker,6.0
2026-03-01,Electronics,SKU-ELC-007,Ergonomic Mechanical Keyboard,2.0
2026-03-01,Health & Personal Care,SKU-HPC-301,Sonic Electric Toothbrush Pro,4.0
2026-03-01,Health & Personal Care,SKU-HPC-302,Collagen Peptide Powder 500g,7.0
2026-03-01,Health & Personal Care,SKU-HPC-303,Infrared Shiatsu Neck Massager,2.0
2026-03-01,Health & Personal Care,SKU-HPC-304,Daily Multivitamin Gummies 120ct,13.0
2026-03-01,Health & Personal Care,SKU-HPC-305,Aromatherapy Ultrasonic Diffuser,0.0
2026-03-01,Home & Kitchen,SKU-HMK-101,Digital Air Fryer Oven 6Qt,9.0
2026-03-01,Home & Kitchen,SKU-HMK-102,Stainless Steel French Press,10.0
2026-03-01,Home & Kitchen,SKU-HMK-103,Cold Brew Iced Coffee Pitcher,3.0
2026-03-01,Home & Kitchen,SKU-HMK-104,Electric Precision Milk Frother,8.0
2026-03-01,Home & Kitchen,SKU-HMK-105,Cast Iron Dutch Oven 5.5Qt,0.0
2026-03-01,Home & Kitchen,SKU-HMK-106,Smart WiFi Food Scale,8.0
2026-03-01,Home & Kitchen,SKU-HMK-107,Silicone Baking Mat Set,7.0
2026-03-01,Sports & Outdoors,SKU-SPO-401,Insulated Hydro Water Bottle 32oz,9.0
2026-03-01,Sports & Outdoors,SKU-SPO-402,Non-Slip High Density Yoga Mat,6.0
2026-03-01,Sports & Outdoors,SKU-SPO-403,Heavy-Duty Resistance Bands Set,5.0
2026-03-01,Sports & Outdoors,SKU-SPO-404,Ultralight Backpacking Tent 2-Person,0.0
2026-03-01,Sports & Outdoors,SKU-SPO-405,Compact Camping Hammock Portable,7.0
2026-03-02,Apparel,SKU-APP-201,Thermal Fleece Running Hoodie,5.0
2026-03-02,Apparel,SKU-APP-202,Moisture-Wicking Athletic Tee,4.0
2026-03-02,Apparel,SKU-APP-203,Heavyweight Arctic Winter Parka,6.0
2026-03-02,Apparel,SKU-APP-204,Seamless Workout Compression Leggings,4.0
2026-03-02,Apparel,SKU-APP-205,Formal Wool Blazer Tailored,0.0
