sku,product_name,category,date,units_sold,current_stock,unit_price,unit_cost,lead_time_days,safety_stock,reorder_point
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-03-01,14.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-03-02,6.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-03-03,8.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-03-04,9.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-03-05,7.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-03-06,6.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-03-07,13.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-03-08,12.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-03-09,9.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-03-10,9.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-03-11,8.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-03-12,6.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-03-13,13.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-03-14,7.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-03-15,13.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-03-16,8.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-03-17,13.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-03-18,6.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-03-19,11.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-03-20,6.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-03-21,8.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-03-22,14.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-03-23,9.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-03-24,5.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-03-25,9.0,12.0,129.99,65.0,14,48,167
SKU-ELC-001,Wireless Noise-Canceling Headphones,Electronics,2026-03-26,11.0,12.0,129.99,65.0,14,48,167
